REQUESTQty,SHIPDays,APROVEDQty,STOCKprice,AWARDprice,INVprice,BeginINV,ENDInv
3963,0,3963,2.98,2.8089,3.8227,11131.67,15149.36
3711,3,3711,3.12,2.38,3.3253,8832.18,12340.19
2645,1,2645,3.888,2.2504,3.193,5952.31,8445.49
4734,2,4734,3.888,2.0961,2.9374,9922.94,13905.65
3682,2,3682,3.888,2.0916,2.9329,7701.27,10798.94
4734,2,4734,3.888,2.0953,2.9366,9919.15,13901.86
2642,0,2642,3.888,2.8089,3.6502,7421.11,9643.83
650,0,650,3.888,2.8089,3.8227,1825.79,2484.76
3708,3,3708,3.888,2.1068,2.9781,7812.01,11042.79
3673,0,3673,4.07,2.31,3.3043,8484.63,12136.69
3706,4,3706,3.888,2.1068,2.9781,7807.8,11036.84
3708,3,3708,3.888,2.1771,3.0484,8072.69,11303.47
3672,2,3672,3.888,2.3766,3.2179,8726.88,11816.13
5271,3,5271,4.07,2.31,3.022,12176.01,15928.96
14166,4,14166,3.888,2.1374,2.9474,30278.41,41752.87
18888,5,18888,3.888,2.1374,2.9474,40371.21,55670.49
4755,0,4755,3.86,2.4191,3.484,11502.82,16566.42
9510,0,9510,3.86,2.4191,3.484,23005.64,33132.84
3963,4,3963,3.888,2.8089,3.6502,11131.67,14465.74
24832,6,24832,3.888,2.4544,3.3257,60947.66,82583.78
5290,1,5290,4.07,2.2112,3.076,11697.25,16272.04
4755,0,4755,3.86,2.4191,3.5182,11502.82,16729.04
5283,0,5283,4.07,2.371,3.083,12525.99,16287.49
3683,0,3683,3.888,2.1864,3.1495,8052.51,11599.61
9470,0,9470,3.888,2.0961,3.0592,19850.07,28970.62
14082,1,14082,3.888,2.1374,3.216,30098.87,45287.71
4755,0,4755,3.86,2.4191,3.484,11502.82,16566.42
3698,0,3698,3.888,2.8089,3.772,10387.31,13948.86
9510,2,9510,3.86,2.4191,3.5182,23005.64,33458.08
4755,2,4755,3.86,2.4191,3.5182,11502.82,16729.04
9368,4,9368,3.888,2.1374,2.989,20023.16,28000.95
14055,5,14055,3.888,2.1374,2.989,30041.16,42010.4
4751,1,4751,3.888,2.5266,3.3679,12003.88,16000.89
1051,1,1051,4.07,2.3727,3.192,2493.71,3354.79
3713,1,3713,3.888,2.108,2.9793,7827,11062.14
3713,1,3713,3.888,2.1068,2.9781,7822.55,11057.69
3713,1,3713,3.888,2.1771,3.0484,8083.57,11318.71
9480,1,9480,3.888,2.0961,3.0592,19871.03,29001.22
3687,1,3687,3.888,2.1864,3.1495,8061.26,11612.21
4755,0,4755,3.888,2.8089,3.6502,13356.32,17356.7
10540,2,10540,4.07,2.2112,3.2213,23306.05,33952.5
4755,0,4755,4.07,2.6441,3.6065,12572.7,17148.91
5283,0,5283,4.07,2.371,3.1903,12525.99,16854.35
7397,4,7397,3.86,2.4191,3.5182,17894.08,26024.13
9510,3,9510,3.86,2.4191,3.5182,23005.64,33458.08
9400,1,9400,3.888,2.1374,2.989,20091.56,28096.6
14100,2,14100,3.888,2.1374,2.989,30137.34,42144.9
3690,4,3690,3.888,2.5266,3.3366,9323.15,12312.05
19020,0,19020,3.888,2.8089,3.6502,53425.28,69426.8
4723,2,4723,4.07,2.31,3.3043,10910.13,15606.21
1057,1,1057,3.888,2.2504,3.193,2378.67,3375
33180,1,33180,3.888,2.1374,3.1005,70918.93,102874.59
3694,3,3694,3.12,2.31,3.2553,8533.14,12025.08
1053,1,1053,3.888,2.2504,3.2135,2369.67,3383.82
4755,0,4755,3.888,2.8089,3.6802,13356.32,17499.35
3638,6,3638,4.07,2.41,3.4868,8767.58,12684.98
5298,1,5298,4.07,2.2112,3.2055,11714.94,16982.74
4744,1,4744,3.888,2.3955,3.2368,11364.25,15355.38
1585,1,1585,3.86,2.4191,3.484,3834.27,5522.14
9510,1,9510,3.86,2.4191,3.484,23005.64,33132.84
7397,1,7397,3.86,2.4191,3.484,17894.08,25771.15
8454,0,8454,3.888,2.8089,3.8752,23746.44,32760.94
3693,0,3693,4.07,2.1852,3.0045,8069.94,11095.62
13682,3,13682,3.888,2.3955,3.3586,32775.23,45952.37
5219,4,5219,4.07,2.2112,3.0266,11540.25,15795.83
3655,0,3655,3.888,2.2504,3.329,8225.21,12167.5
14181,0,14181,3.888,2.1374,2.9787,30310.47,42240.94
5225,7,5225,4.07,2.2112,3.288,11553.52,17179.8
3670,1,3670,3.888,2.1592,2.9692,7924.26,10896.96
23279,3,23279,3.888,2.1374,3.08,49756.53,71699.32
4755,0,4755,4.07,2.6441,3.6734,12572.7,17467.02
4755,0,4755,3.888,2.8089,3.772,13356.32,17935.86
264,6,264,4.07,2.6441,3.7488,698.04,989.68
3694,0,3694,3.888,2.108,3.1743,7786.95,11725.86
4755,0,4755,3.86,2.4191,3.5207,11502.82,16740.93
14160,1,14160,3.888,2.1374,2.9787,30265.58,42178.39
14163,2,14163,3.888,2.1374,2.9787,30272,42187.33
3688,3,3688,3.888,2.108,3.0711,7774.3,11326.22
3698,0,3698,3.888,2.8089,3.6502,10387.31,13498.44
3434,0,3434,3.888,2.8089,3.6502,9645.76,12534.79
3698,0,3698,3.888,2.8089,3.6502,10387.31,13498.44
2638,0,2638,4.07,2.1852,3.0045,5764.56,7925.87
2606,1,2606,3.888,2.2504,3.329,5864.54,8675.37
4738,0,4738,3.888,2.3955,3.3586,11349.88,15913.05
9510,2,9510,3.86,2.4191,3.5238,23005.64,33511.34
3728,4,3728,4.07,2.31,3.0345,8611.68,11312.62
5285,2,5285,4.07,2.2112,3.076,11686.19,16256.66
8959,3,8959,4.07,2.1954,3.0147,19668.59,27008.7
792,2,792,3.888,2.8089,3.6189,2224.65,2866.17
200,0,200,2.98,2.8089,3.8623,561.78,772.46
18856,3,18856,3.888,2.1374,3.0503,40302.81,57516.46
5292,1,5292,4.07,2.2112,3.076,11701.67,16278.19
3665,1,3665,4.07,2.3808,3.2456,8725.63,11895.12
9477,1,9477,4.07,2.1954,3.0147,20805.81,28570.31
526,1,526,4.07,2.3727,3.192,1248.04,1678.99
28482,2,28482,3.888,2.2955,3.1368,65380.43,89342.34
1057,0,1057,3.86,2.4191,3.5238,2556.99,3724.66
264,0,264,4.07,2.6441,3.6734,698.04,969.78
3698,0,3698,4.07,2.366,3.1853,8749.47,11779.24
4755,0,4755,3.86,2.4191,3.4484,11502.82,16397.14
4744,1,4744,3.888,2.5266,3.3366,11986.19,15828.83
528,0,528,3.888,2.5089,3.472,1324.7,1833.22
525,3,525,4.07,2.3727,3.192,1245.67,1675.8
2113,4,2114,3.888,2.3411,3.1824,4949.09,6724.41
3683,0,3683,3.888,2.108,3.0711,7763.76,11310.86
3698,1,3698,4.07,2.366,3.1853,8749.47,11779.24
4243,4,4243,3.888,2.1644,3.0357,9183.55,12880.48
7374,1,7374,3.888,2.108,3.0711,15544.39,22646.29
3156,2,3156,3.888,2.1856,3.1487,6897.75,9937.3
13716,1,13716,3.888,2.3955,3.3586,32856.68,46066.56
3185,2,3185,4.07,2.1954,2.8908,6992.35,9207.2
1060,3,1060,4.07,2.3727,3.0681,2515.06,3252.19
5236,1,5236,4.07,2.2112,3.288,11577.84,17215.97
2113,0,2113,2.98,2.8089,3.8227,5935.21,8077.37
3688,3,3688,3.888,2.0916,3.0547,7713.82,11265.73
18960,1,18960,3.888,2.0953,3.0584,39726.89,57987.26
4755,0,4755,3.86,2.4191,3.5207,11502.82,16740.93
4755,0,4755,3.86,2.4191,3.5207,11502.82,16740.93
1581,3,1581,4.07,2.3727,3.192,3751.24,5046.55
4158,1,4158,4.07,2.31,3.3868,9604.98,14082.31
3634,1,3634,4.07,2.41,3.4868,8757.94,12671.03
2642,2,2642,4.07,2.6441,3.6065,6985.71,9528.37
4755,0,4755,3.888,2.8089,3.7515,13356.32,17838.38
14103,1,14103,3.888,2.1374,3.216,30143.75,45355.25
5273,0,5273,4.07,2.2112,3.076,11659.66,16219.75
5227,1,5227,4.07,2.2112,3.0266,11557.94,15820.04
3670,1,3670,4.07,2.31,3.1748,8477.7,11651.52
9459,1,9459,4.07,2.1954,3.0147,20766.29,28516.05
870,0,870,3.888,2.8089,3.6502,2443.74,3175.67
4717,5,4717,3.888,2.2955,3.2833,10827.87,15487.33
5191,1,5191,4.07,2.31,3.3868,11991.21,17580.88
9480,2,9480,3.888,2.0953,3.0584,19863.44,28993.63
3186,0,3186,4.07,2.3715,3.0669,7555.6,9771.14
3719,0,3719,4.07,2.1852,2.8806,8126.76,10712.95
4741,3,4741,3.888,2.0953,3.0584,9933.82,14499.87
67032,3,67032,3.88,2.2955,3.2381,153871.96,217056.32
2101,1,2101,4.07,2.1852,3.1795,4591.11,6680.13
4198,2,4198,4.07,2.6763,3.6706,11235.11,15409.18
3698,4,3698,4.07,2.366,3.3603,8749.47,12426.39
3148,2,3148,4.07,2.1954,3.1897,6911.12,10041.18
14166,0,14166,3.888,2.1374,2.9474,30278.41,41752.87
4226,0,4226,3.888,2.8089,3.7515,11870.41,15853.84
2113,0,2113,4.07,2.6441,3.7457,5586.98,7914.66
9404,1,9404,3.888,2.1374,2.989,20100.11,28108.56
28302,1,28302,3.888,2.2955,3.2833,64967.24,92923.96
1170,0,1170,2.98,2.8089,3.8227,3286.41,4472.56
3621,3,3621,4.07,2.31,3.1497,8364.51,11405.06
14091,1,14091,3.888,2.1374,3.216,30118.1,45316.66
4755,0,4755,3.888,2.8089,3.7967,13356.32,18053.31
9510,2,9510,3.86,2.4191,3.5238,23005.64,33511.34
4755,2,4755,3.86,2.4191,3.5238,11502.82,16755.67
2113,1,2113,3.888,2.8089,3.772,5935.21,7970.24
1585,0,1585,3.86,2.4191,3.484,3834.27,5522.14
9510,0,9510,3.86,2.4191,3.484,23005.64,33132.84
4755,0,4755,3.86,2.4191,3.484,11502.82,16566.42
7397,0,7397,3.86,2.4191,3.484,17894.08,25771.15
3698,4,3698,3.12,2.38,3.3253,8801.24,12296.96
3692,1,3692,3.888,2.5266,3.3366,9328.21,12318.73
9529,4,9529,3.888,2.0953,2.9666,19966.11,28268.73
1585,0,1585,3.888,3.0089,3.972,4769.11,6295.62
330,0,330,2.98,2.8089,3.8227,926.94,1261.49
1056,0,1056,3.888,2.8089,3.772,2966.2,3983.23
13565,0,13565,2.98,2.8089,3.8623,38102.73,52392.1
4755,0,4755,3.888,2.8089,3.6502,13356.32,17356.7
2820,2,2820,3.888,2.8089,3.7967,7921.1,10706.69
264,0,264,4.07,2.6441,3.6065,698.04,952.12
61412,1,61412,3.888,2.2955,3.2833,140971.25,201634.02
4220,3,4220,3.888,2.1644,3.107,9133.77,13111.54
4748,3,4748,3.888,2.1116,3.0542,10025.88,14501.34
2113,4,2113,3.888,2.8089,3.6502,5935.21,7712.87
3694,7,3694,4.07,2.1852,2.8972,8072.13,10702.26
3173,5,3173,4.07,2.1852,2.8972,6933.64,9192.82
4755,0,4755,3.86,2.4191,3.5182,11502.82,16729.04
7397,0,7397,3.86,2.4191,3.5238,17894.08,26065.55
529,3,529,4.07,2.3727,3.0847,1255.16,1631.81
10566,4,10566,3.888,2.8089,3.6502,29678.84,38568.01
4773,4,4773,3.888,2.1856,3.0569,10431.87,14590.58
792,2,792,2.98,2.8089,3.9268,2224.65,3110.03
5232,3,5232,4.07,2.31,3.3201,12085.92,17370.76
5273,3,5273,4.07,2.2112,3.2213,11659.66,16985.91
5271,1,5271,4.07,2.2112,3.2213,11655.24,16979.47
5337,3,5337,4.07,2.2112,2.9232,11801.17,15601.12
617,3,617,2.98,2.8089,4.0688,1733.09,2510.45
